,"Кол-во организаций предоставивших отчет, ед.","Общ. Объем израсходованных денежных средств по всем видам деятельности, тыс. руб",Расходы по финансированию долгосрочных инвестиций,Долгосрочные инвестиции по обычным видам деятельности,Расходы на финансирование затрат по капитальным вложениям,Расходы на создание и преобретение программного обеспечеия ЭВМ,Расходы на научно-исследовательские и опытные конструкторские работы,"Расходы обслуживающих производств и хозяйств, состоящих на балансе",Текущие расходы на содержание объектов санаторно-курортных учреждений,Текущие расходы на содержание садов и яслей,"Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей",Текущие расоды на содержание объектов физкультурно-оздоровительной деятельности,Текущие расходы на содержание объектов образования,Текущие расходы на содержание учреждений клубного типа,Расходы на предоставление услуг лечебных санаторно-курортных учреждений,Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений,"Расходы по предоставлению услуг пансионатов домов отдыха, детских лагерей",Расходы по предоставлению услуг физкультурно-оздоровительной деятельности,Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровительной деятельности,Расходы по предоставлению услуг образования,Оплата сторонних организаций по предоставлению услуг образования,Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа,Выплаты социального характера работникам,"Надбавки к пенсиям, единовременные пособия уходящим на пенсию",Благотворительные цели,"перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет",Представительские расходы,Оплата услуг банков и других финансово кредитных учреждений,Оплата услуг рекламных агенств и аудиторских организаций,Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследовательских и опытно-конструкторских работ
"   производство машин и оборудования, не включенных в другие группировки",893,2323100771,114620464,77692749,51444721,735988,1890812,2129076,231737,-,94246,59818,-,22714,43903,24884,20613,8245,18462,2349,21768,18803,3632,-,1723971,103287,759200,14021550,312480,4063650
"   производство автотранспортных средств, прицепов и полуприцепов",458,4978476085,144520136,109335075,82872666,1479750,13193506,489665,50166,-,25007,93341,14953,2895,146670,131091,16209,10728,1348,51,26973,19092,12310,9218,2216693,39931,416579,7396127,575422,2638635
   производство прочих транспортных средств и оборудования,344,4739132820,648291491,232993103,126908351,2249742,46496467,6353824,435154,169092,1100495,386879,14697,386503,1127931,571756,463361,264027,413922,299637,80822,69717,104966,42271,5509086,434155,1365021,18348225,447737,3115032
   производство мебели,179,302277146,10518102,8710353,6806744,31577,9139,20644,2335,-,12341,189,120,-,1405,1405,-,-,-,-,325,199,-,-,52157,55,19473,,26565,610878
   производство прочих готовых изделий,209,291713418,10122071,5399882,3942116,359475,61467,108967,22193,-,2773,823,-,120,30617,21,-,-,109,38,746,552,-,-,139267,5498,25029,28591,24310,637495
" ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",3463,17791406301,3058914242,3007601934,1111658344,9350155,11599076,3684980,260593,-,281510,248428,87163,6110,455524,126527,46788,37715,46259,6910,102776,94777,-,-,15478830,1359491,9207436,187674316,593992,7189496
" производство, передача и распределение электроэнергии",955,13686045851,2638702759,2598551332,782064855,8589271,11516900,1199170,114768,-,65514,169063,86546,-,416472,111507,21666,15645,14752,1606,76413,76413,-,-,9838718,918456,8684067,157529421,514322,3153242
   производство и распределение газообразного топлива,213,1879479902,229341422,225151096,224020655,467664,-,125165,5673,-,27990,12802,-,-,11163,10140,7829,6556,5291,1801,-,-,-,-,2356084,277930,314299,3067297,36990,2644511
"   производство, передача и распределение пара и горячей воды; кондиционирование воздуха",2295,2225880548,190870061,183899506,105572834,293220,82176,2360645,140152,-,188006,66563,617,6110,27889,4880,17293,15514,26216,3503,26363,18364,-,-,3284028,163105,209070,27077598,42680,1391743
" ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",2603,1862827546,178774419,154021491,121936295,1304381,321038,3203956,16696,37,175439,37591,4476,986,165059,21012,19673,4420,31303,5326,3373,1973,-,-,3264486,106757,691238,4664924,142488,3618494
